idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2276204,2025-08-22,Round 7,UTA Arad,1,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/ht9qvg1752395169.jpg,https://r2.thesportsdb.com/images/media/event/thumb/p5y8qp1752393755.jpg
2276205,2025-08-22,Round 7,Metaloglobus București,1,Rapid București,2,https://r2.thesportsdb.com/images/media/event/poster/mjvhqf1752395172.jpg,https://r2.thesportsdb.com/images/media/event/thumb/iycpjm1752393759.jpg
2276210,2025-08-23,Round 7,Botoșani,3,Csíkszereda Miercurea Ciuc,1,https://r2.thesportsdb.com/images/media/event/poster/ec4r5f1752395186.jpg,https://r2.thesportsdb.com/images/media/event/thumb/mjs3fz1752393773.jpg
2276207,2025-08-23,Round 7,Universitatea Cluj,0,Dinamo București,1,https://r2.thesportsdb.com/images/media/event/poster/9nq43b1710750506.jpg,https://r2.thesportsdb.com/images/media/event/thumb/41va7k1710750329.jpg
2276208,2025-08-24,Round 7,Oțelul Galați,4,CFR Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/k6c0091752395179.jpg,https://r2.thesportsdb.com/images/media/event/thumb/0mzq191752393766.jpg
2276211,2025-08-24,Round 7,Universitatea Craiova,2,Petrolul Ploiești,0,https://r2.thesportsdb.com/images/media/event/poster/0faafw1752395190.jpg,https://r2.thesportsdb.com/images/media/event/thumb/wtfzzl1752393776.jpg
2276206,2025-08-24,Round 7,FCSB,0,Argeș Pitești,2,https://r2.thesportsdb.com/images/media/event/poster/6q1amb1752395176.jpg,https://r2.thesportsdb.com/images/media/event/thumb/9xmkhq1752393762.jpg
2276209,2025-08-25,Round 7,Hermannstadt,1,Farul Constanța,0,https://r2.thesportsdb.com/images/media/event/poster/6d4rex1752395183.jpg,https://r2.thesportsdb.com/images/media/event/thumb/tacgay1752393769.jpg
2276212,2025-08-29,Round 8,Rapid București,2,UTA Arad,0,https://r2.thesportsdb.com/images/media/event/poster/lfyi5b1688724725.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ii2e8o1688717664.jpg
2276214,2025-08-30,Round 8,Unirea Slobozia,0,Universitatea Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/op26jg1752395197.jpg,https://r2.thesportsdb.com/images/media/event/thumb/kw73o61752393784.jpg
2276216,2025-08-30,Round 8,Dinamo București,2,Hermannstadt,0,https://r2.thesportsdb.com/images/media/event/poster/n0tj1t1752395204.jpg,https://r2.thesportsdb.com/images/media/event/thumb/xksbca1752393791.jpg
2276213,2025-08-31,Round 8,Argeș Pitești,2,Metaloglobus București,1,https://r2.thesportsdb.com/images/media/event/poster/mcmb731752395193.jpg,https://r2.thesportsdb.com/images/media/event/thumb/5mhhqg1752393780.jpg
2276219,2025-08-31,Round 8,Botoșani,1,Universitatea Craiova,1,https://r2.thesportsdb.com/images/media/event/poster/vqq4xw1752395214.jpg,https://r2.thesportsdb.com/images/media/event/thumb/kwds1p1752393802.jpg
2276215,2025-08-31,Round 8,CFR Cluj,2,FCSB,2,https://r2.thesportsdb.com/images/media/event/poster/a9fo4u1752395200.jpg,https://r2.thesportsdb.com/images/media/event/thumb/gjjvh21752393787.jpg
2276217,2025-09-01,Round 8,Csíkszereda Miercurea Ciuc,1,Oțelul Galați,1,https://r2.thesportsdb.com/images/media/event/poster/6yvdat1752395207.jpg,https://r2.thesportsdb.com/images/media/event/thumb/747mvd1752393794.jpg
2276218,2025-09-01,Round 8,Farul Constanța,2,Petrolul Ploiești,1,https://r2.thesportsdb.com/images/media/event/poster/a1glzc1752395211.jpg,https://r2.thesportsdb.com/images/media/event/thumb/bixf981752393798.jpg
2276221,2025-09-12,Round 9,Universitatea Cluj,0,Rapid București,0,https://r2.thesportsdb.com/images/media/event/poster/unydk01752395217.jpg,https://r2.thesportsdb.com/images/media/event/thumb/oqhwdx1752393805.jpg
2276220,2025-09-13,Round 9,UTA Arad,3,Argeș Pitești,3,,https://r2.thesportsdb.com/images/media/event/thumb/7mcbux1638480229.jpg
2276222,2025-09-13,Round 9,Metaloglobus București,1,CFR Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/p32w4p1752395221.jpg,https://r2.thesportsdb.com/images/media/event/thumb/brdiwa1752393809.jpg
2276226,2025-09-14,Round 9,Oțelul Galați,0,Botoșani,1,https://r2.thesportsdb.com/images/media/event/poster/aq7h0o1752395235.jpg,https://r2.thesportsdb.com/images/media/event/thumb/xdedec1752393823.jpg
2276227,2025-09-14,Round 9,Universitatea Craiova,2,Farul Constanța,0,https://r2.thesportsdb.com/images/media/event/poster/7w8yq01688724710.jpg,https://r2.thesportsdb.com/images/media/event/thumb/t32lgg1688717645.jpg
2276344,2025-09-14,Round 24,Csíkszereda Miercurea Ciuc,1,FCSB,1,https://r2.thesportsdb.com/images/media/event/poster/ab2ka11752395623.jpg,https://r2.thesportsdb.com/images/media/event/thumb/48l24s1752394303.jpg
2276223,2025-09-15,Round 9,Hermannstadt,0,Unirea Slobozia,2,https://r2.thesportsdb.com/images/media/event/poster/icn6051752395224.jpg,https://r2.thesportsdb.com/images/media/event/thumb/yqwd0p1752393812.jpg
2276225,2025-09-15,Round 9,Petrolul Ploiești,0,Dinamo București,3,https://r2.thesportsdb.com/images/media/event/poster/zuxy7c1752395231.jpg,https://r2.thesportsdb.com/images/media/event/thumb/mj5m1l1752393819.jpg
2276233,2025-09-19,Round 10,Botoșani,3,FCSB,1,https://r2.thesportsdb.com/images/media/event/poster/wbc72x1752395255.jpg,https://r2.thesportsdb.com/images/media/event/thumb/arw6lk1752393862.jpg
2276229,2025-09-20,Round 10,Argeș Pitești,1,Universitatea Cluj,0,https://r2.thesportsdb.com/images/media/event/poster/nsd2381752395242.jpg,https://r2.thesportsdb.com/images/media/event/thumb/em4s2g1752393848.jpg
2276235,2025-09-20,Round 10,Oțelul Galați,1,Universitatea Craiova,0,https://r2.thesportsdb.com/images/media/event/poster/py6a361752395259.jpg,https://r2.thesportsdb.com/images/media/event/thumb/564g2k1752393866.jpg
2276232,2025-09-21,Round 10,Unirea Slobozia,1,Petrolul Ploiești,0,https://r2.thesportsdb.com/images/media/event/poster/7gv2081752395252.jpg,https://r2.thesportsdb.com/images/media/event/thumb/wklnk31752393859.jpg
2276228,2025-09-21,Round 10,CFR Cluj,1,UTA Arad,1,https://r2.thesportsdb.com/images/media/event/poster/cn8vvc1752395238.jpg,https://r2.thesportsdb.com/images/media/event/thumb/xtyfov1752393844.jpg
2276230,2025-09-21,Round 10,Rapid București,1,Hermannstadt,2,https://r2.thesportsdb.com/images/media/event/poster/tw8g7r1752395245.jpg,https://r2.thesportsdb.com/images/media/event/thumb/kabyvf1752393852.jpg
2276231,2025-09-22,Round 10,Csíkszereda Miercurea Ciuc,2,Metaloglobus București,2,https://r2.thesportsdb.com/images/media/event/poster/ruqfyn1752395248.jpg,https://r2.thesportsdb.com/images/media/event/thumb/9b6o0o1752393855.jpg
2276234,2025-09-22,Round 10,Dinamo București,1,Farul Constanța,1,https://r2.thesportsdb.com/images/media/event/poster/g5a3qm1688724674.jpg,https://r2.thesportsdb.com/images/media/event/thumb/qammfs1688717605.jpg
2276238,2025-09-26,Round 11,Hermannstadt,0,Argeș Pitești,1,https://r2.thesportsdb.com/images/media/event/poster/y77ytb1752395269.jpg,https://r2.thesportsdb.com/images/media/event/thumb/d910il1752393876.jpg
2276243,2025-09-26,Round 11,Universitatea Craiova,2,Dinamo București,2,https://r2.thesportsdb.com/images/media/event/poster/3ugd7q1752395294.jpg,https://r2.thesportsdb.com/images/media/event/thumb/10ruso1752393894.jpg
2276236,2025-09-27,Round 11,UTA Arad,0,Csíkszereda Miercurea Ciuc,0,https://r2.thesportsdb.com/images/media/event/poster/xn4iss1752395262.jpg,https://r2.thesportsdb.com/images/media/event/thumb/m24k7j1752393869.jpg
2276239,2025-09-27,Round 11,Petrolul Ploiești,0,Rapid București,1,https://r2.thesportsdb.com/images/media/event/poster/lczp6e1752395272.jpg,https://r2.thesportsdb.com/images/media/event/thumb/06uips1752393880.jpg
2276241,2025-09-28,Round 11,Farul Constanța,1,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/q4j8b31752395279.jpg,https://r2.thesportsdb.com/images/media/event/thumb/3p099o1752393887.jpg
2276242,2025-09-28,Round 11,FCSB,1,Oțelul Galați,0,https://r2.thesportsdb.com/images/media/event/poster/vus94l1752395283.jpg,https://r2.thesportsdb.com/images/media/event/thumb/oba5011752393891.jpg
2276240,2025-09-29,Round 11,Metaloglobus București,0,Botoșani,2,https://r2.thesportsdb.com/images/media/event/poster/ovh17t1752395276.jpg,https://r2.thesportsdb.com/images/media/event/thumb/6gdzps1752393884.jpg
2276237,2025-09-29,Round 11,Universitatea Cluj,2,CFR Cluj,2,https://r2.thesportsdb.com/images/media/event/poster/ishkw61752395266.jpg,https://r2.thesportsdb.com/images/media/event/thumb/0tjmue1752393873.jpg
2276250,2025-10-03,Round 12,Unirea Slobozia,0,Dinamo București,1,https://r2.thesportsdb.com/images/media/event/poster/pnmtvo1752395315.jpg,https://r2.thesportsdb.com/images/media/event/thumb/dczoh61752393916.jpg
2276245,2025-10-04,Round 12,Csíkszereda Miercurea Ciuc,2,Universitatea Cluj,1,https://r2.thesportsdb.com/images/media/event/poster/g5fjz71752395301.jpg,https://r2.thesportsdb.com/images/media/event/thumb/xeb9wu1752393901.jpg
2276247,2025-10-04,Round 12,Argeș Pitești,0,Petrolul Ploiești,1,https://r2.thesportsdb.com/images/media/event/poster/7uo6v51752395309.jpg,https://r2.thesportsdb.com/images/media/event/thumb/nyhgd81752393909.jpg
2276248,2025-10-04,Round 12,Rapid București,3,Farul Constanța,1,https://r2.thesportsdb.com/images/media/event/poster/emytvs1688724663.jpg,https://r2.thesportsdb.com/images/media/event/thumb/skk5hv1688717592.jpg
2276246,2025-10-05,Round 12,CFR Cluj,2,Hermannstadt,1,https://r2.thesportsdb.com/images/media/event/poster/cwnsjt1752395304.jpg,https://r2.thesportsdb.com/images/media/event/thumb/k6qxf41752393905.jpg
2276251,2025-10-05,Round 12,FCSB,1,Universitatea Craiova,0,https://r2.thesportsdb.com/images/media/event/poster/788igf1752395319.jpg,https://r2.thesportsdb.com/images/media/event/thumb/0nyztx1752393919.jpg
2276249,2025-10-06,Round 12,Oțelul Galați,4,Metaloglobus București,0,https://r2.thesportsdb.com/images/media/event/poster/i3ls8k1752395312.jpg,https://r2.thesportsdb.com/images/media/event/thumb/7ebiqj1752393912.jpg
2276244,2025-10-06,Round 12,Botoșani,2,UTA Arad,1,https://r2.thesportsdb.com/images/media/event/poster/m0z1mk1752395297.jpg,https://r2.thesportsdb.com/images/media/event/thumb/yp83ah1752393898.jpg
2276194,2025-10-16,Round 5,Csíkszereda Miercurea Ciuc,2,CFR Cluj,2,https://r2.thesportsdb.com/images/media/event/poster/w62igi1752395140.jpg,https://r2.thesportsdb.com/images/media/event/thumb/jt8jds1752393709.jpg
2276256,2025-10-17,Round 13,Farul Constanța,0,Argeș Pitești,0,,https://r2.thesportsdb.com/images/media/event/thumb/wv85cz1638480309.jpg
2276253,2025-10-18,Round 13,Universitatea Cluj,0,Botoșani,2,https://r2.thesportsdb.com/images/media/event/poster/pd0l4d1752395322.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ik6qun1752393923.jpg
2276259,2025-10-18,Round 13,Universitatea Craiova,3,Unirea Slobozia,1,https://r2.thesportsdb.com/images/media/event/poster/v1zp9h1752395336.jpg,https://r2.thesportsdb.com/images/media/event/thumb/bwpzg41752393937.jpg
2276258,2025-10-18,Round 13,Metaloglobus București,2,FCSB,1,https://r2.thesportsdb.com/images/media/event/poster/45aixt1752395333.jpg,https://r2.thesportsdb.com/images/media/event/thumb/z6vlk61752393934.jpg
2276252,2025-10-19,Round 13,UTA Arad,0,Oțelul Galați,4,https://r2.thesportsdb.com/images/media/event/poster/nwf5l01710750506.jpg,https://r2.thesportsdb.com/images/media/event/thumb/ovne1q1710750328.jpg
2276257,2025-10-19,Round 13,Dinamo București,0,Rapid București,2,https://r2.thesportsdb.com/images/media/event/poster/ny3pe41688724713.jpg,https://r2.thesportsdb.com/images/media/event/thumb/j9b5fs1688717649.jpg
2276254,2025-10-20,Round 13,Hermannstadt,0,Csíkszereda Miercurea Ciuc,2,https://r2.thesportsdb.com/images/media/event/poster/9ya4321752395326.jpg,https://r2.thesportsdb.com/images/media/event/thumb/99u3ng1752393927.jpg
2276255,2025-10-20,Round 13,Petrolul Ploiești,1,CFR Cluj,0,https://r2.thesportsdb.com/images/media/event/poster/quhyxr1752395329.jpg,https://r2.thesportsdb.com/images/media/event/thumb/9fn6oo1752393930.jpg
